2026-06-19 15:52:01.772 CHROME | test | waitAndType | [[ChromeDriver: chrome on windows (6d11d61c7fcefde3b3cf6e1ab865cbd4)] -> xpath: //*[@id='APjFqb']] | TYPE_ACTION | 146 ms
2026-06-19 15:52:02.360 CHROME | test | waitAndClick | [[ChromeDriver: chrome on windows (6d11d61c7fcefde3b3cf6e1ab865cbd4)] -> name: btnK] | CLICK_ACTION | 584 ms
2026-06-22 12:46:28.265 CHROME | test | waitAndType | [[ChromeDriver: chrome on mac (4b2955bf2a0d6fd4591b001968da5db8)] -> xpath: //*[@id='APjFqb']] | TYPE_ACTION | 6990 ms
2026-07-01 15:55:18.293 CHROME | test | waitAndType | [[ChromeDriver: chrome on windows (ccbbbc92a44723e9b42a7769688cec1a)] -> xpath: //*[@id='APjFqb']] | TYPE_ACTION | 88 ms
2026-07-01 15:55:24.015 CHROME | test | waitAndClick | Proxy element for: DefaultElementLocator 'By.name: btnK' | CLICK_ACTION | 572 ms
2026-07-01 16:06:47.999 CHROME | test | waitAndType | [[ChromeDriver: chrome on windows (1ca8d9ce9e7feaacb2366648d2e80cf2)] -> xpath: //*[@id='APjFqb']] | TYPE_ACTION | 145 ms
2026-07-01 16:06:48.576 CHROME | test | waitAndClick | [[ChromeDriver: chrome on windows (1ca8d9ce9e7feaacb2366648d2e80cf2)] -> name: btnK] | CLICK_ACTION | 576 ms
2026-07-01 16:22:50.398 CHROME | test | waitAndType | [[ChromeDriver: chrome on mac (21be65620b6050fe78b1be22c1584b56)] -> xpath: //*[@id='APjFqb']] | TYPE_ACTION | 8711 ms
2026-07-01 16:23:18.315 CHROME | test | waitAndClick | Proxy element for: DefaultElementLocator 'By.name: btnK' | CLICK_ACTION | 1340 ms
2026-07-13 18:32:25.046 CHROME | createNewModelTest | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 3928 ms
2026-07-13 18:32:30.810 CHROME | createNewModelTest | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 665 ms
2026-07-13 18:32:42.890 CHROME | createNewModelTest | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 750 ms
2026-07-13 18:32:55.039 CHROME | createNewModelTest | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[1]/div[3]/div[1]/div/button[1]] | CLICK_ACTION | 65 ms
2026-07-13 18:33:09.394 CHROME | createNewModelTest | waitAndClick | Proxy element for: DefaultElementLocator 'By.xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[1]/span[2]' | CLICK_ACTION | 970 ms
2026-07-13 18:33:18.657 CHROME | createNewModelTest | waitAndClick | [[ChromeDriver: chrome on mac (4c7d118605e735fb4eba399b28701c2d)] -> xpath: //*[@id="root"]/div/div/div/div/aside[2]/div/div/div[2]/div/div/div[2]/div/div/div/button[2]] | CLICK_ACTION | 3477 ms
