2026-06-19 15:52:01.570 EDGE | test | waitAndType | [[EdgeDriver: MicrosoftEdge on windows (dcfddfad9e92f444bb671343a2a66d4d)] -> xpath: //*[@id='APjFqb']] | TYPE_ACTION | 162 ms
2026-06-19 15:52:07.266 EDGE | test | waitAndClick | Proxy element for: DefaultElementLocator 'By.name: btnK' | CLICK_ACTION | 674 ms
2026-06-22 12:46:28.179 EDGE | test | waitAndType | [[EdgeDriver: MicrosoftEdge on mac (e7368706200249c2dcc5858dc63a6f07)] -> xpath: //*[@id='APjFqb']] | TYPE_ACTION | 797 ms
2026-06-22 12:46:45.458 EDGE | test | waitAndClick | Proxy element for: DefaultElementLocator 'By.name: btnK' | CLICK_ACTION | 2142 ms
2026-07-01 15:55:21.307 EDGE | test | waitAndType | [[EdgeDriver: MicrosoftEdge on windows (a6e3c353b0f33775bd669e1a1ea51ee6)] -> xpath: //*[@id='APjFqb']] | TYPE_ACTION | 135 ms
2026-07-01 15:55:21.892 EDGE | test | waitAndClick | [[EdgeDriver: MicrosoftEdge on windows (a6e3c353b0f33775bd669e1a1ea51ee6)] -> name: btnK] | CLICK_ACTION | 579 ms
2026-07-01 16:06:48.017 EDGE | test | waitAndType | [[EdgeDriver: MicrosoftEdge on windows (f3ea5bc2c7f75e54c80557bf4748e592)] -> xpath: //*[@id='APjFqb']] | TYPE_ACTION | 164 ms
2026-07-01 16:06:54.684 EDGE | test | waitAndClick | Proxy element for: DefaultElementLocator 'By.name: btnK' | CLICK_ACTION | 584 ms
2026-07-01 16:22:15.055 EDGE | test | waitAndType | [[EdgeDriver: MicrosoftEdge on mac (b3d9b65bbf2c298dae6208387cf44372)] -> xpath: //*[@id='APjFqb']] | TYPE_ACTION | 134 ms
2026-07-01 16:22:23.547 EDGE | test | waitAndClick | Proxy element for: DefaultElementLocator 'By.name: btnK' | CLICK_ACTION | 577 ms
2026-07-06 15:40:16.866 EDGE | test | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (c49efbd18f8bc9253a8a36f87072cc2d)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 17245 ms
2026-07-06 15:41:13.128 EDGE | test | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (e4a488ef8878d6042fd2e8ac142037e8)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 27155 ms
2026-07-06 15:42:37.571 EDGE | test | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (c8f9a70354a4e257101f7e2b66379f65)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 11882 ms
2026-07-06 15:44:16.626 EDGE | test | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (dde5f5a375e79d5a3a3789e250e42435)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 868 ms
2026-07-06 15:45:42.924 EDGE | test | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (e94582207a916847efcff4b019569031)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 16156 ms
2026-07-06 16:00:44.038 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (66548ee7011b5916a2d67a7408e3b7dd)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 11871 ms
2026-07-06 16:06:09.030 EDGE | newModelTest | waitAndClick | [[EdgeDriver: MicrosoftEdge on mac (68475653a7a9bda0b4d3c91be74d39b6)] -> xpath: //*[@id="root"]/div/div/div/div/div[1]/div[2]/button] | CLICK_ACTION | 11657 ms
